제품,상세설명,AC or DC,제품군,보호종류,통신여부,통신종류,누설(지락),단락,과전류/저전류,결상,역상,과전압/저전압,전력,내장 ZCT,,,,,,,,
EOCRSS-D2RU,EOCR-SS 200 2CT 1c 100~220V,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-30S,EOCR-SS 30 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-30W,EOCR-SS 30 380~440V Wide,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-30RU,EOCR-SS 30 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-60S,EOCR-SS 60 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-60W,EOCR-SS 60 380~440V Wide,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-60RU,EOCR-SS 60 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EUCR-05S,EUCR 05 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,저전류,불가,불가,불가,불가,,,,,,,,,
EUCR-05W,EUCR 05 380~440V Wide,AC,Analog,전류,비통신,불가,불가,불가,저전류,불가,불가,불가,불가,,,,,,,,,
EUCR-30S,EUCR 30 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,저전류,불가,불가,불가,불가,,,,,,,,,
EUCR-30W,EUCR 30 380~440V Wide,AC,Analog,전류,비통신,불가,불가,불가,저전류,불가,불가,불가,불가,,,,,,,,,
EUCR-60S,EUCR 60 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,저전류,불가,불가,불가,불가,,,,,,,,,
EVR-1P22,EVR-1P22,AC,Digital,전압,비통신,불가,불가,불가,불가,불가,불가,모든조건,불가,,,,,,,,,
EVR-3P44,EVR-3P44,AC,Digital,전압,비통신,불가,불가,불가,불가,모든조건,불가,모든조건,불가,,,,,,,,,
EVRPD-220NZ6SM,EVR-PD MODE 220 N 1P 60HZ,AC,Digital,전압,비통신,불가,불가,불가,불가,모든조건,불가,모든조건,불가,,,,,,,,,
EVRPD-44U,"EVRPD, Ue = 70…550 VAC, Us = 100…240 VAC",AC,Digital,전압,비통신,불가,불가,불가,불가,모든조건,불가,모든조건,불가,,,,,,,,,
SDDR-DZ7,SDDR-D 100-240VAC 50/60Hz,AC,Digital,전압,비통신,불가,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,불가,,,,,,,,,
3BZ2-WRABHZ,EOCR-3BZ2 WR A-A 24V BOTTOM,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3BZ2-WRAUHZ,EOCR-3BZ2 WR A-A 100~240V,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3BZ2-WRCBHZ,EOCR-3BZ2 1A1B 24V BOTTOM,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3BZ2-WRCBTZ,EOCR-3BZ2 WR 1A1B 24 TERMINAL,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3BZ2-WRCUHZ,EOCR-3BZ2 WR 1A1B 100~240V,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3BZ2-WRCUTZ,EOCR-3BZ2 WR 1A1B 100~240V,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3DM2-WRDBHZ,EOCR-3DM2 WR 24V Bottom,AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
3DM2-WRDBTZ,EOCR-3DM2 WR 24V Terminal,AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
3DM2-WRDBWZ,EOCR-3DM2 WR 24V Window,AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
3DM2-WRDUHZ,EOCR-3DM2 WR 100~240V Bottom,AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
3DM2-WRDUTZ,EOCR-3DM2 WR 100~240V Terminal,AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
3DM2-WRDUWZ,EOCR-3DM2 WR 100~240V Window,AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
3MSZ-WRAUWHYZ,EOCR-3MSZ HYNIX(3MZ2),AC,Digital,전류,비통신,불가,가능,모든조건,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRABHZ,EOCR-3MZ2 WR A-A 24V Bottom,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRABTZ,EOCR-3MZ2 WR A-A 24V Terminal,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRABWZ,EOCR-3MZ2 WR A-A 24V Window,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRAUHZ,EOCR-3MZ2 WR A-A 100~240V Bott,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRAUTZ,EOCR-3MZ2 WR A-A 100~240V Term,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRAUWZ,EOCR-3MZ2 WR A-A 100~240V Wind,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRCBHZ,EOCR-3MZ2 WR 1A1B 24V Bottom,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRCBTZ,EOCR-3MZ2 WR 1A1B 24V Terminal,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRCBWZ,EOCR-3MZ2 WR 1A1B 24V Window,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRCUHZ,EOCR-3MZ2 WR 1A1B 100~240V Bot,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRCUTZ,EOCR-3MZ2 WR 1A1B 100~240V Ter,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRCUWZ,EOCR-3MZ2 WR 1A1B 100~240V Win,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRDBHZ,EOCR-3MZ2 WR B-A 24V Bottom,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRDBTZ,EOCR-3MZ2 WR B-A 24V Terminal,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRDBWZ,EOCR-3MZ2 WR B-A 24V Window,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRDUHZ,EOCR-3MZ2 WR B-A 100~240V Bott,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRDUTZ,EOCR-3MZ2 WR B-A 100~240V Term,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
3MZ2-WRDUWZ,EOCR-3MZ2 WR B-A 100~240V Wind,AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EGR-10USVM,MODBUS-RTU 8Pin Flush mounted,AC,Digital,전류,비통신,불가,가능,불가,불가,불가,불가,불가,불가,,,,,,,,,
EGR-20UFCM,MODBUS-RTU 12Pin Flush mounted,AC,Digital,전류,비통신,불가,가능,불가,불가,불가,불가,불가,불가,,,,,,,,,
EGR-20USAM,"MODBUS-RTU 8Pin Socket, Current ZCT",AC,Digital,전류,비통신,불가,가능,불가,불가,불가,불가,불가,불가,,,,,,,,,
EOCR3DEV-05DUH,"3DE, 05A/100-240V,OL+AL,Hole",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3DEV-05DUT,"3DE, 05A/100-240V,OL+AL,TB",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3DEV-80DUH,"3DE, 80A/100-240V,OL+AL,Hole",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3DEV-80DUT,"3DE, 80A/100-240V,OL+AL,TB",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3E420-05DUH,EOCR-3E420 WR DC/AC 110~220,AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3E420-05DUT,EOCR-3E420 WR DC/AC 110~220,AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3E420-80DUH,EOCR-3E420 WR DC/AC 110~220,AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3E420-80DUT,EOCR-3E420 WR DC/AC 110~220,AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCR3EZ-05CUH,"3EZ, 05A/100-240V,OL/GR(E),Hole",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-05CUT,"3EZ, 05A/100-240V,OL/GR(E),TB",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-80CUH,"3EZ, 80A/100-240V,OL/GR(E),Hole",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-80CUT,"3EZ, 80A/100-240V,OL/GR(E),TB",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-05AUH,"3EZ, 05A/100-240V,OL+GR(E),Hole",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-05AUT,"3EZ, 05A/100-240V,OL+GR(E),TB",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-80AUH,"3EZ, 80A/100-240V,OL+GR(E),Hole",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR3EZ-80AUT,"3EZ, 80A/100-240V,OL+GR(E),TB",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFDE-05DUH,"FDE, 05A/100-240V,OL+AL,Hole,PDM",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFDE-05DUT,"FDE, 05A/100-240V,OL+AL,TB,PDM",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFDE-80DUH,"FDE, 80A/100-240V,OL+AL,Hole,PDM",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFDE-80DUT,"FDE, 80A/100-240V,OL+AL,TB,PDM",AC,Digital,전류,비통신,불가,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFE420-05DUH,"FE420, 05A/100-240V,OL+420,Hole,PDM",AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
